City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,portland,90,US,1565140061,82,43.66,-70.25,71.01,6.93
1,hermanus,47,ZA,1565139919,85,-34.42,19.24,53.01,5.01
2,shahpura,100,IN,1565140220,85,25.63,74.93,78.55,7.38
3,tombouctou,100,ML,1565140208,60,16.77,-3.01,84.89,2.44
4,lexington,1,US,1565140122,61,38.05,-84.5,82.4,10.29
5,busselton,61,AU,1565139887,69,-33.64,115.35,46.99,18.45
6,portel,15,BR,1565140037,80,-1.94,-50.82,75.62,1.63
7,new norfolk,40,AU,1565139938,67,-42.78,147.06,52.0,19.46
8,rikitea,83,PF,1565139909,64,-23.12,-134.97,71.01,9.6
9,vaini,75,IN,1565140116,94,15.34,74.49,71.6,13.87
10,mataura,100,NZ,1565139913,75,-46.19,168.86,51.01,3.0
11,norman wells,90,CA,1565140049,51,65.28,-126.83,60.8,2.24
12,dikson,98,RU,1565139874,100,73.51,80.55,40.25,6.24
13,upernavik,0,GL,1565140068,81,72.79,-56.15,43.23,4.76
14,ushuaia,90,AR,1565139901,86,-54.81,-68.31,28.4,17.22
15,kavieng,98,PG,1565139908,80,-2.57,150.8,81.66,10.56
16,saskylakh,100,RU,1565139949,88,71.97,114.09,59.56,12.21
17,wadi maliz,40,TN,1565140239,26,36.47,8.55,91.4,18.34
18,kapaa,40,US,1565139892,70,22.08,-159.32,87.8,11.41
19,ketchikan,1,US,1565139977,72,55.34,-131.65,68.0,16.11
20,klaksvik,100,FO,1565140243,81,62.23,-6.59,51.8,8.05
21,srandakan,96,ID,1565140244,81,-7.94,110.25,70.88,4.92
22,hasaki,75,JP,1565140001,70,35.73,140.83,90.0,6.93
23,thompson,75,CA,1565139930,77,55.74,-97.86,59.0,10.29
24,san patricio,0,PY,1565139953,80,-26.98,-56.83,63.45,6.35
25,valle de allende,42,MX,1565140250,27,26.94,-105.39,85.79,4.34
26,bluff,43,AU,1565139950,60,-23.58,149.07,67.89,6.22
27,bambous virieux,75,MU,1565140252,94,-20.34,57.76,69.01,6.13
28,maragogi,0,BR,1565140254,91,-9.01,-35.22,68.22,4.76
29,lazurne,4,UA,1565140255,53,46.77,34.99,62.48,4.18
30,port alfred,2,ZA,1565139866,64,-33.59,26.89,60.01,5.01
31,chokurdakh,0,RU,1565140215,48,70.62,147.9,59.18,4.36
32,ponta delgada,75,PT,1565140259,94,37.73,-25.67,73.4,14.99
33,fremont,1,US,1565140261,60,37.55,-121.99,84.99,16.11
34,hobart,40,AU,1565139938,67,-42.88,147.33,52.0,19.46
35,geraldton,75,CA,1565140264,56,49.72,-86.95,71.6,13.87
36,ngorongoro,27,TZ,1565140265,71,-3.24,35.49,63.09,17.36
37,puerto ayora,75,EC,1565139893,73,-0.74,-90.35,73.4,17.22
38,pacific grove,90,US,1565140260,77,36.62,-121.92,84.0,8.05
39,atuona,0,PF,1565139980,75,-9.8,-139.03,79.7,19.24
40,banamba,100,ML,1565140270,91,13.55,-7.45,73.13,2.13
41,brasilia de minas,49,BR,1565140271,77,-16.21,-44.43,64.44,7.72
42,porirua,85,NZ,1565140272,62,-41.14,174.84,54.0,17.22
43,montebelluna,100,IT,1565140273,94,45.78,12.05,71.01,4.7
44,sorong,67,ID,1565140275,80,-0.86,131.25,79.59,5.14
45,avarua,99,CK,1565139719,73,-21.21,-159.78,75.2,11.41
46,bredasdorp,56,ZA,1565139959,93,-34.53,20.04,42.8,3.36
47,arraial do cabo,67,BR,1565139702,84,-22.97,-42.02,68.74,22.01
48,port elizabeth,1,US,1565140036,83,39.31,-74.98,78.8,5.3
49,tasiilaq,91,GL,1565139879,75,65.61,-37.64,44.6,5.82
50,punta arenas,20,CL,1565139897,86,-53.16,-70.91,32.0,26.4
51,poum,0,MK,1565140283,60,41.28,20.71,57.78,1.95
52,jiexiu,0,CN,1565140284,61,37.02,111.92,72.72,0.87
53,lagoa,0,PT,1565140158,73,37.14,-8.45,72.0,3.36
54,qaanaaq,72,GL,1565139937,56,77.48,-69.36,45.12,3.02
55,tarko-sale,79,RU,1565140289,77,64.92,77.78,64.99,18.16
56,medina,0,SA,1565140238,18,24.47,39.61,91.4,9.17
57,yellowknife,75,CA,1565140037,71,62.45,-114.38,55.4,12.75
58,surt,0,LY,1565140293,66,31.21,16.59,80.19,8.05
59,vila franca do campo,75,PT,1565140059,94,37.72,-25.43,73.4,14.99
60,castro,40,CL,1565140052,100,-42.48,-73.76,37.4,4.97
61,sitka,43,US,1565140296,25,37.17,-99.65,97.07,10.85
62,sao filipe,24,CV,1565140195,80,14.9,-24.5,73.92,14.99
63,lebu,75,ET,1565139882,87,8.96,38.73,55.4,2.24
64,luanda,75,AO,1565139982,100,-8.83,13.24,68.0,8.3
65,kutno,20,PL,1565140301,88,52.23,19.36,66.99,4.9
66,albany,75,US,1565140302,83,42.65,-73.75,73.99,4.7
67,sioux lookout,90,CA,1565140108,60,50.1,-91.92,73.4,6.93
68,mar del plata,0,AR,1565139792,42,-46.43,-67.52,40.77,23.31
69,bethel,90,US,1565139906,93,60.79,-161.76,60.8,17.22
70,kaitangata,100,NZ,1565139928,65,-46.28,169.85,50.0,5.99
71,severo-kurilsk,100,RU,1565139868,98,50.68,156.12,49.08,20.36
72,yulara,0,AU,1565140310,29,-25.24,130.99,60.8,10.29
73,mount gambier,100,AU,1565140208,81,-37.83,140.78,50.0,5.82
74,nome,20,US,1565140160,70,30.04,-94.42,88.0,8.05
75,jamestown,65,AU,1565139889,51,-33.21,138.6,56.68,5.7
76,karratha,0,AU,1565140315,34,-20.74,116.85,66.85,18.57
77,carnarvon,0,ZA,1565139998,26,-30.97,22.13,47.39,10.6
78,barrow,0,AR,1565139947,54,-38.31,-60.23,46.13,8.55
79,tyukhtet,85,RU,1565140318,86,56.54,89.31,63.09,3.27
80,hilo,1,US,1565139915,66,19.71,-155.08,86.0,18.34
